Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Allen Glacier,Exists,173.528,,60.755014,-144.8796,2014-12-01,52.53,SC,South Carolina
Allen Glacier,Exists,173.528,,60.755014,-144.8796,2014-12-01,52.53,NE,Nebraska
Dirty Glacier,Exists,3.4695,,60.947318,-148.416536,2014-12-01,52.53,CA,California
Dirty Glacier,Exists,3.4695,,60.947318,-148.416536,2014-12-01,52.53,AK,Alaska
Ranney Glacier,Exists,2.57649,,61.187103,-147.572663,2014-12-01,52.53,AK,Alaska
Nellie Juan Glacier,Exists,43.2714,,60.447095,-148.418745,2014-12-01,52.53,CA,California
Nellie Juan Glacier,Exists,43.2714,,60.447095,-148.418745,2014-12-01,52.53,AK,Alaska
Lowell Glacier,Exists,3.17239,,60.834,-148.681217,2014-12-01,52.53,CA,California
Lowell Glacier,Exists,3.17239,,60.834,-148.681217,2014-12-01,52.53,AK,Alaska
Godwin Glacier,Exists,9.23313,,60.163681,-149.180169,2014-12-01,52.53,FL,Florida
Godwin Glacier,Exists,9.23313,,60.163681,-149.180169,2014-12-01,52.53,AK,Alaska
Godwin Glacier,Exists,9.23313,,60.163681,-149.180169,2014-12-01,52.53,AL,Alabama
Godwin Glacier,Exists,9.23313,,60.163681,-149.180169,2014-12-01,52.53,TX,Texas
Godwin Glacier,Exists,9.23313,,60.163681,-149.180169,2014-12-01,52.53,WI,Wisconsin
Godwin Glacier,Exists,9.23313,,60.163681,-149.180169,2014-12-01,52.53,CA,California
Portage Glacier,Exists,17.5316,,60.752595,-148.795502,2014-12-01,52.53,CA,California
Portage Glacier,Exists,17.5316,,60.752595,-148.795502,2014-12-01,52.53,AK,Alaska
Johnson Glacier,Exists,15.0795,,60.515159,-144.454344,2014-12-01,52.53,AK,Alaska
Northland Glacier,Exists,20.8699,,60.665942,-148.78134,2014-12-01,52.53,CA,California
Northland Glacier,Exists,20.8699,,60.665942,-148.78134,2014-12-01,52.53,AK,Alaska
Surprise Glacier,Exists,62.8283,,61.038696,-148.453382,2014-12-01,52.53,CA,California
Surprise Glacier,Exists,62.8283,,61.038696,-148.453382,2014-12-01,52.53,AK,Alaska
Yale Glacier,Exists,152.245,,61.289851,-147.368866,2014-12-01,52.53,AK,Alaska
Unnamed_41,Exists,20.384,,60.358302,-148.764638,2014-12-01,52.53,CA,California
Unnamed_41,Exists,20.384,,60.358302,-148.764638,2014-12-01,52.53,AK,Alaska
Unnamed_27,Exists,18.4129,,60.436263,-148.817638,2014-12-01,52.53,CA,California
Unnamed_27,Exists,18.4129,,60.436263,-148.817638,2014-12-01,52.53,AK,Alaska
Tigertail Glacier,Exists,5.93195,,60.247648,-148.395715,2014-12-01,52.53,AK,Alaska
Heney Glacier,Exists,64.2539,,60.881898,-144.870981,2014-12-01,52.53,AK,Alaska
Ultramarine Glacier,Exists,18.0424,,60.375362,-148.347747,2014-12-01,52.53,AK,Alaska
Smith Glacier,Exists,16.0722,,61.249475,-147.777835,2014-12-01,52.53,AK,Alaska
Slope Glacier,Exists,2.70395,,60.471214,-143.840672,2014-12-01,52.53,AK,Alaska
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,AK,Alaska
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,AL,Alabama
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,NC,North Carolina
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,NM,New Mexico
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,IL,Illinois
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,MD,Maryland
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,SC,South Carolina
Fickett Glacier,Exists,1.79438,,60.539721,-145.020678,2014-12-01,52.53,NE,Nebraska
Columbia Glacier,Exists,733.122,,61.336949,-146.652362,2014-12-01,52.53,AK,Alaska
Crescent Glacier,Exists,7.21496,,60.974404,-147.822073,2014-12-01,52.53,CA,California
Crescent Glacier,Exists,7.21496,,60.974404,-147.822073,2014-12-01,52.53,AK,Alaska
Kings Glacier,Exists,4.51993,,60.425333,-148.580873,2014-12-01,52.53,CA,California
Kings Glacier,Exists,4.51993,,60.425333,-148.580873,2014-12-01,52.53,AK,Alaska
Unnamed_43,Exists,11.6798,,60.373274,-148.718653,2014-12-01,52.53,CA,California
Unnamed_43,Exists,11.6798,,60.373274,-148.718653,2014-12-01,52.53,AK,Alaska
Harvard Glacier,Exists,435.408,,61.329167,-147.532785,2014-12-01,52.53,AK,Alaska
Exit Glacier,Exists,26.7319,,60.159808,-149.680757,2014-12-01,52.53,AK,Alaska
Marquette Glacier,Exists,2.87143,,60.634954,-148.619097,2014-12-01,52.53,CA,California
Marquette Glacier,Exists,2.87143,,60.634954,-148.619097,2014-12-01,52.53,AK,Alaska
Cataract Glacier,Exists,3.06011,,61.029177,-148.411115,2014-12-01,52.53,CA,California
Cataract Glacier,Exists,3.06011,,61.029177,-148.411115,2014-12-01,52.53,AK,Alaska
Unnamed_33,Exists,11.9357,,60.552706,-148.690669,2014-12-01,52.53,CA,California
Unnamed_33,Exists,11.9357,,60.552706,-148.690669,2014-12-01,52.53,AK,Alaska
Princeton Glacier,Exists,43.4321,,60.322551,-148.411948,2014-12-01,52.53,AK,Alaska
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,AK,Alaska
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,AL,Alabama
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,NC,North Carolina
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,NM,New Mexico
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,IL,Illinois
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,MD,Maryland
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,SC,South Carolina
Schwan Glacier,Exists,114.122,,60.841864,-145.259371,2014-12-01,52.53,NE,Nebraska
Bear Lake Glacier,Exists,6.10726,,60.166345,-149.257827,2014-12-01,52.53,FL,Florida
Bear Lake Glacier,Exists,6.10726,,60.166345,-149.257827,2014-12-01,52.53,AK,Alaska
