,line_type,area,glac_id,anlys_time,db_area,min_elev,mean_elev,max_elev,src_date,glac_name,glac_stat,gone_date,release_dt,first_coordinate,lng,lat,cluster,closest_cluster_lat,closest_cluster_lng
6444,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944474,60.899656",-144.944474,60.899656,57,60.91661248488242,-144.96812428555432
6445,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.875399,60.898673",-144.875399,60.898673,57,60.91661248488242,-144.96812428555432
6446,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.874841,60.898754",-144.874841,60.898754,57,60.91661248488242,-144.96812428555432
6447,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944641,60.899928",-144.944641,60.899928,57,60.91661248488242,-144.96812428555432
6448,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.87446,60.898928",-144.87446,60.898928,57,60.91661248488242,-144.96812428555432
6449,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.87408,60.899101",-144.87408,60.899101,57,60.91661248488242,-144.96812428555432
6450,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.874258,60.899194",-144.874258,60.899194,57,60.91661248488242,-144.96812428555432
6451,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.874609,60.899469",-144.874609,60.899469,57,60.91661248488242,-144.96812428555432
6452,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.873498,60.899541",-144.873498,60.899541,57,60.91661248488242,-144.96812428555432
6453,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.925795,60.900537",-144.925795,60.900537,57,60.91661248488242,-144.96812428555432
6454,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.872529,60.900244",-144.872529,60.900244,57,60.91661248488242,-144.96812428555432
6455,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.943904,60.902791",-144.943904,60.902791,57,60.91661248488242,-144.96812428555432
6456,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944969,60.903436",-144.944969,60.903436,57,60.91661248488242,-144.96812428555432
6457,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.918252,60.903115",-144.918252,60.903115,57,60.91661248488242,-144.96812428555432
6458,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944577,60.903789",-144.944577,60.903789,57,60.91661248488242,-144.96812428555432
6459,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.916293,60.904881",-144.916293,60.904881,57,60.91661248488242,-144.96812428555432
6460,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.925547,60.901521",-144.925547,60.901521,57,60.91661248488242,-144.96812428555432
6461,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.911891,60.903645",-144.911891,60.903645,57,60.91661248488242,-144.96812428555432
6462,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.911622,60.903731",-144.911622,60.903731,57,60.91661248488242,-144.96812428555432
6463,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.911486,60.903774",-144.911486,60.903774,57,60.91661248488242,-144.96812428555432
6464,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.998449,60.905294",-144.998449,60.905294,57,60.91661248488242,-144.96812428555432
6465,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.934036,60.904256",-144.934036,60.904256,57,60.91661248488242,-144.96812428555432
6466,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.933484,60.904248",-144.933484,60.904248,57,60.91661248488242,-144.96812428555432
6467,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.924284,60.903926",-144.924284,60.903926,57,60.91661248488242,-144.96812428555432
6468,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.910822,60.904077",-144.910822,60.904077,57,60.91661248488242,-144.96812428555432
6469,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.995905,60.905399",-144.995905,60.905399,57,60.91661248488242,-144.96812428555432
6470,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.918954,60.903665",-144.918954,60.903665,57,60.91661248488242,-144.96812428555432
6471,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.909487,60.904626",-144.909487,60.904626,57,60.91661248488242,-144.96812428555432
6472,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.946546,60.904717",-144.946546,60.904717,57,60.91661248488242,-144.96812428555432
6473,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.932838,60.905675",-144.932838,60.905675,57,60.91661248488242,-144.96812428555432
6474,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.930935,60.905825",-144.930935,60.905825,57,60.91661248488242,-144.96812428555432
6475,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.932826,60.905854",-144.932826,60.905854,57,60.91661248488242,-144.96812428555432
6476,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-145.004102,60.907289",-145.004102,60.907289,57,60.91661248488242,-144.96812428555432
6477,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.922866,60.90588",-144.922866,60.90588,57,60.91661248488242,-144.96812428555432
6478,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-145.002242,60.907441",-145.002242,60.907441,57,60.91661248488242,-144.96812428555432
6479,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.960953,60.905682",-144.960953,60.905682,57,60.91661248488242,-144.96812428555432
6480,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.9232,60.906424",-144.9232,60.906424,57,60.91661248488242,-144.96812428555432
6481,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.931663,60.906734",-144.931663,60.906734,57,60.91661248488242,-144.96812428555432
6482,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.935675,60.907425",-144.935675,60.907425,57,60.91661248488242,-144.96812428555432
6483,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.92332,60.907414",-144.92332,60.907414,57,60.91661248488242,-144.96812428555432
6484,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.923498,60.907507",-144.923498,60.907507,57,60.91661248488242,-144.96812428555432
6485,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.885915,60.906922",-144.885915,60.906922,57,60.91661248488242,-144.96812428555432
6486,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.923671,60.907689",-144.923671,60.907689,57,60.91661248488242,-144.96812428555432
6487,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.862881,60.906648",-144.862881,60.906648,57,60.91661248488242,-144.96812428555432
6488,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.91021,60.90766",-144.91021,60.90766,57,60.91661248488242,-144.96812428555432
6489,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.885131,60.907628",-144.885131,60.907628,57,60.91661248488242,-144.96812428555432
6490,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944403,60.909355",-144.944403,60.909355,57,60.91661248488242,-144.96812428555432
6491,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.884531,60.908337",-144.884531,60.908337,57,60.91661248488242,-144.96812428555432
6492,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944392,60.909534",-144.944392,60.909534,57,60.91661248488242,-144.96812428555432
6493,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.983252,60.910391",-144.983252,60.910391,57,60.91661248488242,-144.96812428555432
6494,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.945082,60.910263",-144.945082,60.910263,57,60.91661248488242,-144.96812428555432
6495,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.945439,60.910448",-144.945439,60.910448,57,60.91661248488242,-144.96812428555432
6496,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.945618,60.910541",-144.945618,60.910541,57,60.91661248488242,-144.96812428555432
6497,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.882409,60.909741",-144.882409,60.909741,57,60.91661248488242,-144.96812428555432
6498,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.943199,60.910863",-144.943199,60.910863,57,60.91661248488242,-144.96812428555432
6499,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.94594,60.911264",-144.94594,60.911264,57,60.91661248488242,-144.96812428555432
6500,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.946113,60.911446",-144.946113,60.911446,57,60.91661248488242,-144.96812428555432
6501,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.94418,60.904232",-144.94418,60.904232,57,60.91661248488242,-144.96812428555432
6502,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.942059,60.911384",-144.942059,60.911384,57,60.91661248488242,-144.96812428555432
6503,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.992686,60.912867",-144.992686,60.912867,57,60.91661248488242,-144.96812428555432
6504,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.944017,60.912492",-144.944017,60.912492,57,60.91661248488242,-144.96812428555432
6505,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.946216,60.912705",-144.946216,60.912705,57,60.91661248488242,-144.96812428555432
6506,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.943821,60.912669",-144.943821,60.912669,57,60.91661248488242,-144.96812428555432
6507,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.943084,60.912657",-144.943084,60.912657,57,60.91661248488242,-144.96812428555432
6508,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.943809,60.912848",-144.943809,60.912848,57,60.91661248488242,-144.96812428555432
6509,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.979867,60.913666",-144.979867,60.913666,57,60.91661248488242,-144.96812428555432
6510,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.946723,60.913431",-144.946723,60.913431,57,60.91661248488242,-144.96812428555432
6511,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.875947,60.912603",-144.875947,60.912603,57,60.91661248488242,-144.96812428555432
6512,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.941932,60.913358",-144.941932,60.913358,57,60.91661248488242,-144.96812428555432
6513,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.942651,60.913639",-144.942651,60.913639,57,60.91661248488242,-144.96812428555432
6514,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.941707,60.913983",-144.941707,60.913983,57,60.91661248488242,-144.96812428555432
6515,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.943371,60.913919",-144.943371,60.913919,57,60.91661248488242,-144.96812428555432
6516,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.942432,60.914174",-144.942432,60.914174,57,60.91661248488242,-144.96812428555432
6517,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.941505,60.91425",-144.941505,60.91425,57,60.91661248488242,-144.96812428555432
6518,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.942974,60.914362",-144.942974,60.914362,57,60.91661248488242,-144.96812428555432
6519,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.941315,60.914337",-144.941315,60.914337,57,60.91661248488242,-144.96812428555432
6520,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.942766,60.914718",-144.942766,60.914718,57,60.91661248488242,-144.96812428555432
6521,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.940353,60.914951",-144.940353,60.914951,57,60.91661248488242,-144.96812428555432
6522,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.940163,60.915038",-144.940163,60.915038,57,60.91661248488242,-144.96812428555432
6523,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.973133,60.915808",-144.973133,60.915808,57,60.91661248488242,-144.96812428555432
6524,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.941425,60.912632",-144.941425,60.912632,57,60.91661248488242,-144.96812428555432
6525,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.972937,60.915984",-144.972937,60.915984,57,60.91661248488242,-144.96812428555432
6526,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.869503,60.915195",-144.869503,60.915195,57,60.91661248488242,-144.96812428555432
6527,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.863606,60.915102",-144.863606,60.915102,57,60.91661248488242,-144.96812428555432
6528,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.936546,60.916778",-144.936546,60.916778,57,60.91661248488242,-144.96812428555432
6529,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.863208,60.915544",-144.863208,60.915544,57,60.91661248488242,-144.96812428555432
6530,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.861734,60.915521",-144.861734,60.915521,57,60.91661248488242,-144.96812428555432
6531,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.85948,60.916114",-144.85948,60.916114,57,60.91661248488242,-144.96812428555432
6532,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.935204,60.917566",-144.935204,60.917566,57,60.91661248488242,-144.96812428555432
6533,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.935014,60.917653",-144.935014,60.917653,57,60.91661248488242,-144.96812428555432
6534,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.934823,60.91774",-144.934823,60.91774,57,60.91661248488242,-144.96812428555432
6535,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.934633,60.917827",-144.934633,60.917827,57,60.91661248488242,-144.96812428555432
6536,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.933107,60.918612",-144.933107,60.918612,57,60.91661248488242,-144.96812428555432
6537,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.933066,60.91924",-144.933066,60.91924,57,60.91661248488242,-144.96812428555432
6538,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.931039,60.919209",-144.931039,60.919209,57,60.91661248488242,-144.96812428555432
6539,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.930848,60.919295",-144.930848,60.919295,57,60.91661248488242,-144.96812428555432
6540,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.965338,60.922336",-144.965338,60.922336,57,60.91661248488242,-144.96812428555432
6541,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.841665,60.92041",-144.841665,60.92041,57,60.91661248488242,-144.96812428555432
6542,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.840743,60.920395",-144.840743,60.920395,57,60.91661248488242,-144.96812428555432
6543,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.808117,60.919958",-144.808117,60.919958,57,60.91661248488242,-144.96812428555432
6544,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.839625,60.920557",-144.839625,60.920557,57,60.91661248488242,-144.96812428555432
6545,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.941353,60.92233",-144.941353,60.92233,57,60.91661248488242,-144.96812428555432
6546,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.872788,60.921264",-144.872788,60.921264,57,60.91661248488242,-144.96812428555432
6547,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.839244,60.92073",-144.839244,60.92073,57,60.91661248488242,-144.96812428555432
6548,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.984105,60.923157",-144.984105,60.923157,57,60.91661248488242,-144.96812428555432
6549,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.956825,60.922746",-144.956825,60.922746,57,60.91661248488242,-144.96812428555432
6550,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.83664,60.921048",-144.83664,60.921048,57,60.91661248488242,-144.96812428555432
6551,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.95497,60.922897",-144.95497,60.922897,57,60.91661248488242,-144.96812428555432
6552,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.954232,60.922886",-144.954232,60.922886,57,60.91661248488242,-144.96812428555432
6553,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.955327,60.923082",-144.955327,60.923082,57,60.91661248488242,-144.96812428555432
6554,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.876069,60.921855",-144.876069,60.921855,57,60.91661248488242,-144.96812428555432
6555,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.957539,60.923116",-144.957539,60.923116,57,60.91661248488242,-144.96812428555432
6556,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.952355,60.923396",-144.952355,60.923396,57,60.91661248488242,-144.96812428555432
6557,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.95126,60.9232",-144.95126,60.9232,57,60.91661248488242,-144.96812428555432
6558,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.93133,60.923255",-144.93133,60.923255,57,60.91661248488242,-144.96812428555432
6559,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.99417,60.924475",-144.99417,60.924475,57,60.91661248488242,-144.96812428555432
6560,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.968184,60.923995",-144.968184,60.923995,57,60.91661248488242,-144.96812428555432
6561,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.967078,60.923979",-144.967078,60.923979,57,60.91661248488242,-144.96812428555432
6562,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.965604,60.923956",-144.965604,60.923956,57,60.91661248488242,-144.96812428555432
6563,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.929653,60.923498",-144.929653,60.923498,57,60.91661248488242,-144.96812428555432
6564,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.922102,60.923292",-144.922102,60.923292,57,60.91661248488242,-144.96812428555432
6565,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.923,60.923665",-144.923,60.923665,57,60.91661248488242,-144.96812428555432
6566,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.959308,60.92431",-144.959308,60.92431,57,60.91661248488242,-144.96812428555432
6567,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.852405,60.922557",-144.852405,60.922557,57,60.91661248488242,-144.96812428555432
6568,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.803558,60.921859",-144.803558,60.921859,57,60.91661248488242,-144.96812428555432
6569,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.960598,60.92433",-144.960598,60.92433,57,60.91661248488242,-144.96812428555432
6570,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.964452,60.924658",-144.964452,60.924658,57,60.91661248488242,-144.96812428555432
6571,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.962234,60.924714",-144.962234,60.924714,57,60.91661248488242,-144.96812428555432
6572,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.919106,60.923964",-144.919106,60.923964,57,60.91661248488242,-144.96812428555432
6573,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.940298,60.92438",-144.940298,60.92438,57,60.91661248488242,-144.96812428555432
6574,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.807397,60.922371",-144.807397,60.922371,57,60.91661248488242,-144.96812428555432
6575,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.939733,60.924551",-144.939733,60.924551,57,60.91661248488242,-144.96812428555432
6576,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.983589,60.925484",-144.983589,60.925484,57,60.91661248488242,-144.96812428555432
6577,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.810862,60.922966",-144.810862,60.922966,57,60.91661248488242,-144.96812428555432
6578,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.984315,60.925675",-144.984315,60.925675,57,60.91661248488242,-144.96812428555432
6579,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.979522,60.925603",-144.979522,60.925603,57,60.91661248488242,-144.96812428555432
6580,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.809928,60.923131",-144.809928,60.923131,57,60.91661248488242,-144.96812428555432
6581,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.843972,60.924488",-144.843972,60.924488,57,60.91661248488242,-144.96812428555432
6582,dc,0,G215072E60886N,1417392000,64.2539,72,0,2033,1566000000,Heney Glacier,e,e,1633078800,"-144.974822,60.926969",-144.974822,60.926969,57,60.91661248488242,-144.96812428555432
6583,dc,0,G211469E60427N,1417392000,13.1229,11,0,1227,1565222400,Falling Glacier,e,e,1633078800,"-148.520506,60.449054",-148.520506,60.449054,62,60.561341494182486,-148.60187507164727
6584,dc,0,G211469E60427N,1417392000,13.1229,11,0,1227,1565222400,Falling Glacier,e,e,1633078800,"-148.520151,60.449238",-148.520151,60.449238,62,60.561341494182486,-148.60187507164727
6585,dc,0,G211469E60427N,1417392000,13.1229,11,0,1227,1565222400,Falling Glacier,e,e,1633078800,"-148.535096,60.450055",-148.535096,60.450055,62,60.561341494182486,-148.60187507164727
6586,dc,0,G211469E60427N,1417392000,13.1229,11,0,1227,1565222400,Falling Glacier,e,e,1633078800,"-148.519796,60.449422",-148.519796,60.449422,62,60.561341494182486,-148.60187507164727
