,line_type,area,glac_id,anlys_time,db_area,min_elev,mean_elev,max_elev,src_date,glac_name,glac_stat,gone_date,release_dt,first_coordinate,lng,lat,cluster,closest_cluster_lat,closest_cluster_lng
35,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.24651,58.78531",-137.24651,58.78531,48,58.79177845362319,-137.32780668695654
36,dc,0,G220740E60158N,1185936604,2910.92,0,0,0,995500800,Hubbard Glacier,e,e,1185936838,"-139.36059,60.002244",-139.36059,60.002244,38,59.872209067499995,-139.311546645
37,dc,0,G221509E59477N,1180378826,126.185,0,0,0,995500800,Novatak Glacier,e,e,1180380065,"-138.38592,59.421213",-138.38592,59.421213,2,59.458963678350514,-138.40528046597936
38,dc,0,G221509E59477N,1180378826,126.185,0,0,0,995500800,Novatak Glacier,e,e,1180380065,"-138.39756,59.409896",-138.39756,59.409896,2,59.458963678350514,-138.40528046597936
39,dc,0,G221509E59477N,1180378826,126.185,0,0,0,995500800,Novatak Glacier,e,e,1180380065,"-138.424369,59.407508",-138.424369,59.407508,2,59.458963678350514,-138.40528046597936
40,dc,0,G221509E59477N,1180378826,126.185,0,0,0,995500800,Novatak Glacier,e,e,1180380065,"-138.378302,59.408667",-138.378302,59.408667,2,59.458963678350514,-138.40528046597936
41,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.22981,58.83921",-137.22981,58.83921,48,58.79177845362319,-137.32780668695654
43,dc,0,G223243E59125N,1176170743,400.86,0,0,0,933465600,Carroll Glacier,e,e,1177210698,"-136.459499,59.028904",-136.459499,59.028904,27,58.95513173736264,-136.54102207362638
44,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.393963,58.797811",-137.393963,58.797811,48,58.79177845362319,-137.32780668695654
45,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.297314,58.752301",-137.297314,58.752301,48,58.79177845362319,-137.32780668695654
46,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.285736,58.758319",-137.285736,58.758319,48,58.79177845362319,-137.32780668695654
47,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.402283,58.792561",-137.402283,58.792561,48,58.79177845362319,-137.32780668695654
48,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.261762,58.769317",-137.261762,58.769317,48,58.79177845362319,-137.32780668695654
49,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.27302,58.78065",-137.27302,58.78065,48,58.79177845362319,-137.32780668695654
50,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.25781,58.84631",-137.25781,58.84631,48,58.79177845362319,-137.32780668695654
51,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.20746,58.817",-137.20746,58.817,48,58.79177845362319,-137.32780668695654
52,dc,0,G223120E58800N,1148851475,133.881,0,0,0,933465600,Lamplugh Glacier,e,e,1150232094,"-136.935832,58.874451",-136.935832,58.874451,27,58.79177845362319,-137.32780668695654
53,dc,0,G223120E58800N,1148851475,133.881,0,0,0,933465600,Lamplugh Glacier,e,e,1150232094,"-136.904146,58.863529",-136.904146,58.863529,27,58.95513173736264,-136.54102207362638
54,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.12835,58.84094",-137.12835,58.84094,48,58.79177845362319,-137.32780668695654
55,dc,0,G222829E58804N,1148929281,162.882,0,0,0,933465600,Johns Hopkins Glacier,e,e,1150232094,"-137.22057,58.83285",-137.22057,58.83285,48,58.79177845362319,-137.32780668695654
56,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-137.91017,58.98445",-137.91017,58.98445,48,58.79177845362319,-137.32780668695654
