glac_id,analysis_id,50,150,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150
G225691E58672N,1048,6.17,9.28,7.3,9.56,9.78,6.9,11.0,15.26,23.5,23.25,44.69,67.2,102.66,121.19,124.49,101.7,33.06,28.43,25.2,3.5,0.34,0.0
