glac_name,lat,lng
253,62.923706499999994,-151.0233475
254,63.187253,-149.866774
255,63.1022685,-150.1193445
257,63.150866,-149.823364
258,63.202942,-149.776787
259,60.7206005,-143.74047050000001
26,58.5063,-136.487352
260,62.9256055,-150.434397
262,63.25153,-150.148844
263,62.882148,-150.491118
264,62.994157,-150.198808
265,62.992275,-150.184337
268,63.0004435,-150.24628
269,63.01375,-150.268893
27,63.434272,-149.685569
271,62.6660975,-152.1803775
272,62.637453,-151.976393
273,62.6255,-151.968325
274,62.624177,-151.958284
28,60.5329405,-144.45232900000002
281,62.9285305,-150.80476199999998
283,63.092136,-150.041156
285,63.068464,-149.977464
286,63.044906499999996,-150.1359475
287,63.020012,-150.34478
288,63.039153999999996,-150.1260815
289,63.0504575,-150.106497
29,60.895497,-148.616495
290,61.0673495,-143.1186085
294,63.137154,-149.955253
296,63.130979,-149.961476
298,62.95343,-150.572125
299,62.947112,-150.577364
3,62.393849,-152.511729
30,60.68893633333334,-145.79491233333334
300,62.956552,-150.570034
301,63.222979,-150.805897
302,63.22708,-150.790717
304,63.222603,-150.868988
307,63.116517,-151.263805
308,62.978982,-151.705292
309,63.106821,-151.339159
31,62.867626,-151.293807
310,63.1116145,-151.3253405
311,62.775211999999996,-151.99441000000002
312,62.570513,-152.202562
313,62.71903,-150.632868
314,62.71007,-150.647091
316,62.697585,-150.605437
317,62.698913,-150.592283
320,62.9207035,-151.7016755
321,62.666359,-152.289911
324,62.565065,-152.505964
325,62.715823,-150.606238
327,62.682654,-152.225387
329,62.676569,-152.291698
33,62.507755,-152.216954
330,62.862616,-152.087369
331,62.82495,-152.054034
332,62.833891,-152.038466
335,62.579128,-152.484611
336,62.764589,-152.302206
337,62.652,-152.410137
339,62.663271,-152.338404
34,62.505396,-152.218203
340,63.170748,-151.087247
344,62.739634,-152.19411
345,62.668512,-152.38497
346,62.712463,-152.372087
347,62.703275,-152.364575
348,62.718094,-152.26925
35,62.502481,-152.226062
351,62.689761,-152.507132
354,62.7396555,-152.20316050000002
355,62.71931,-152.228269
356,62.729783,-152.314844
357,62.725224,-152.321528
359,62.71716,-152.301559
36,62.497573,-152.218339
361,62.805826,-152.110174
363,62.7965,-152.069827
368,62.824479,-152.173669
37,62.535193,-152.255677
370,62.826545,-152.253452
371,62.832026,-152.219979
372,62.826907,-152.223968
378,62.606398,-152.4646
379,62.727149499999996,-152.334433
380,62.740629999999996,-152.30831949999998
381,62.601201,-152.454874
384,62.624646,-152.383269
385,62.618595,-152.466896
386,62.612592,-152.473524
387,62.607618,-152.435985
389,62.608745,-152.507208
39,63.078776000000005,-150.414411
390,62.602583,-152.488007
391,62.632828,-152.454448
392,62.631069,-152.47167
394,62.618187,-152.509515
397,62.665158,-152.580744
398,62.661997,-152.585285
4,62.478223,-152.586188
40,62.902495,-150.62894
403,62.672113,-152.666786
404,62.668372,-152.650696
405,62.668127,-152.638802
406,62.684872,-152.615652
409,62.929458499999996,-151.8610355
41,62.905671,-150.589147
410,63.137255,-151.275926
411,63.134587,-151.282298
412,62.671901500000004,-152.616605
413,62.913345,-151.8754925
417,63.199115,-151.058558
419,62.873524,-151.707407
42,62.99363,-150.541659
422,62.534031,-152.01359
424,62.559754,-152.049041
426,63.479331,-149.226271
428,63.4550575,-149.360036
43,62.995395,-150.493676
430,63.455964,-149.624852
431,63.457068,-149.632879
432,63.452111,-149.622809
434,63.438847,-149.655938
436,63.390745,-149.693767
437,63.430786499999996,-149.49551
438,63.399961,-149.597844
44,63.296218,-149.907786
440,63.423428,-149.621167
441,63.472505,-149.426099
442,63.3862715,-149.7478875
443,63.412843,-149.593534
444,63.410606,-149.603272
445,63.420625,-149.414741
447,63.195912,-149.9572195
448,63.1955255,-149.95988499999999
449,63.468165,-149.408177
45,63.301791,-149.906828
450,62.902879,-150.735153
451,63.22800049999999,-150.086001
452,63.501892,-149.459326
453,63.49695,-149.472609
454,63.497083,-149.481395
455,63.0700505,-150.31021850000002
457,63.359132,-149.895075
458,63.119401,-151.21911
46,61.496101,-147.948824
461,63.131147,-151.233869
462,63.139891,-151.251434
463,63.139172,-151.265262
464,63.085097000000005,-151.1638805
465,63.144243,-151.230143
468,63.100069500000004,-150.665031
469,62.6848065,-151.7430555
47,63.28997,-150.476217
470,60.8585905,-143.7729175
478,62.551258000000004,-152.069578
479,62.722998,-151.105549
482,62.584787,-152.697484
484,62.57778,-152.73606
485,62.563438,-152.805631
487,62.558809,-152.810871
488,62.50116,-152.713125
493,62.412873,-152.42541
494,62.401579,-152.424703
495,62.577928,-152.65791
496,62.468608,-152.57521200000002
498,62.496771,-152.493503
5,62.5039235,-152.4968445
50,61.021391,-148.704642
500,62.485686,-152.526672
503,62.494633,-152.624337
504,62.485477,-152.623821
505,62.391365,-152.441152
506,62.460371,-152.796878
508,62.496677,-152.50175
51,62.162856000000005,-149.2757245
510,62.361494,-152.57984
511,62.446622,-152.568095
512,62.485757,-152.653722
513,62.365524,-152.393836
514,62.484504,-152.649024
515,62.401043,-152.313002
516,62.450433,-152.707938
517,61.201759,-147.51758500000003
518,62.412041,-152.5448935
520,62.473543,-152.650739
521,62.686169,-152.790127
523,62.4998955,-152.60141299999998
524,62.497249,-152.6021185
525,62.520503,-152.6340745
527,62.52108,-152.5714415
528,62.629599,-152.685218
529,62.621363,-152.688755
53,63.003673,-150.74609900000002
530,62.611025,-152.686279
532,62.598567,-152.697686
533,62.486393,-152.6023505
534,62.485397000000006,-152.60231199999998
535,62.58892,-152.700691
538,62.607988,-152.738594
539,62.600084,-152.731015
54,63.210198,-150.161547
540,62.601547,-152.72207
541,62.595988000000006,-152.747634
542,62.598408500000005,-152.7401485
544,62.585396,-152.797315
545,62.584938,-152.782213
55,63.199911,-150.166106
551,62.565262,-152.860947
552,62.555061,-152.844402
553,62.626456,-152.821564
556,62.587289,-152.963771
559,62.57573,-152.995749
564,62.507154,-152.849655
566,62.504371,-152.873186
567,62.49981,-152.9158955
568,58.540988,-136.876725
57,63.293703,-149.870496
570,62.529929,-152.883378
571,62.492212,-153.048636
575,62.492587,-152.948557
576,62.625874,-152.888609
578,62.614659,-152.864903
58,63.28,-149.910796
581,62.373517,-152.661827
583,62.477402,-152.978132
584,62.473842,-152.991548
586,62.344652,-152.506113
588,62.345674,-152.809229
