Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Nelchina Glacier,Exists,238.557,,61.745843,-147.042494,7/1/2015,52.96,AK,Alaska
Nellie Juan Glacier,Exists,43.2714,,60.447095,-148.418745,12/1/2014,52.53,CA,California
Nellie Juan Glacier,Exists,43.2714,,60.447095,-148.418745,12/1/2014,52.53,AK,Alaska
Nenana Glacier,Exists,27.4485,,63.566918,-147.534781,7/1/2015,52.96,AK,Alaska
Netland Glacier,Exists,31.1392,,59.382888,-137.82555,7/1/2015,52.96,AK,Alaska
Neve Glacier,Exists,4.36014,,48.640113,-121.126302,8/1/2006,56.8,WA,Washington
New Morning Peak,Gone,0.076414,1662681600,48.580025,-120.844719,8/1/2006,56.8,WA,Washington
Newton Clark Glacier,Exists,2.39159,,45.375038,-121.673229,8/1/2006,56.8,OR,Oregon
Nisqually Glacier,Exists,4.44398,,46.815654,-121.746016,8/1/2006,56.8,WA,Washington
Nisqually Glacier,Exists,4.44398,,46.815654,-121.746016,8/1/2006,56.8,IA,Iowa
