Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Ice Cliff Glacier,Exists,0.093858,,47.47457,-120.895997,8/1/2006,56.8,KS,Kansas
Ice Cliff Glacier,Exists,0.093858,,47.47457,-120.895997,8/1/2006,56.8,WA,Washington
Ice Cliff Glacier,Exists,0.093858,,47.47457,-120.895997,8/1/2006,56.8,IN,Indiana
Ice River Glacier,Exists,0.21021,,47.826017,-123.671293,10/1/2017,57.51,WA,Washington
Ice Worm Glacier,Gone,0.192104,1694217600,47.560851,-121.162196,8/1/2006,56.8,WA,Washington
Icicle Glacier,Exists,2.59616,,61.207624,-149.09968,7/1/2015,52.96,AK,Alaska
Icicle Glacier,Exists,2.59616,,61.207624,-149.09968,7/1/2015,52.96,KY,Kentucky
Indian Glacier,Exists,18.1988,,60.127851,-150.213626,7/1/2015,52.96,AK,Alaska
Ingraham Glacier,Exists,3.97924,,46.811994,-121.682793,8/1/2006,56.8,WA,Washington
Ingraham Glacier,Exists,3.97924,,46.811994,-121.682793,8/1/2006,56.8,IA,Iowa
Inspiration Glacier,Exists,5.32121,,48.552967,-121.110203,8/1/2006,56.8,WA,Washington
Inter Glacier,Exists,0.788303,,46.884806,-121.71782,8/1/2006,56.8,WA,Washington
Ipasha Glacier,Exists,0.320005,,48.843057,-113.817214,8/1/2006,56.8,MT,Montana
Irving Glacier,Exists,0.163342,,44.139479,-121.780159,8/1/2006,56.8,OR,Oregon
Isabelle Glacier,Exists,0.116473,,40.063783,-105.641977,8/1/2006,56.8,IA,Iowa
Isabelle Glacier,Exists,0.116473,,40.063783,-105.641977,8/1/2006,56.8,CO,Colorado
Isella Glacier,Exists,0.527169,,48.231411,-120.865492,8/1/2006,56.8,WA,Washington
J Glacier,Exists,0.400269,,43.236246,-109.702161,8/1/2006,56.8,WY,Wyoming
J Glacier,Exists,0.400269,,43.236246,-109.702161,8/1/2006,56.8,ID,Idaho
J Glacier,Exists,0.400269,,43.236246,-109.702161,8/1/2006,56.8,IN,Indiana
Jackson Glacier,Exists,1.25483,,48.595474,-113.709707,8/1/2006,56.8,MT,Montana
Jarvis Glacier,Exists,54.5235,,59.508501,-136.608172,7/1/2015,52.96,AK,Alaska
Jeffers Glacier,Exists,0.231687,,47.775613,-123.681638,10/1/2017,57.51,WA,Washington
Jefferson Park Glacier,Exists,0.623515,,44.686462,-121.805087,8/1/2006,56.8,OR,Oregon
Jerry Glacier,Exists,0.523374,,48.744132,-120.913023,8/1/2006,56.8,WA,Washington
John Glacier,Exists,2.17029,,58.861757,-137.156627,7/1/2015,52.96,AK,Alaska
Johns Hopkins Glacier,Exists,162.882,,58.805875,-137.260638,5/1/2006,46.77,AK,Alaska
Johnson Glacier,Exists,15.0795,,60.515159,-144.454344,12/1/2014,52.53,AK,Alaska
Kachemak Glacier,Exists,20.7549,,59.723496,-150.525265,7/1/2015,52.96,AK,Alaska
Kadachan Glacier,Exists,1.0353,,58.893786,-137.105952,7/1/2015,52.96,AK,Alaska
Kanikula Glacier,Exists,42.6697,,62.754672,-151.152962,7/1/2015,52.96,AK,Alaska
Kashoto Glacier,Exists,4.03867,,58.846203,-137.003206,7/1/2015,52.96,AK,Alaska
Katsuk Glacier,Exists,0.810261,,48.578448,-120.88363,8/1/2006,56.8,WA,Washington
Kautz Glacier,Exists,1.65897,,46.84576,-121.761201,8/1/2006,56.8,WA,Washington
Kautz Glacier,Exists,1.65897,,46.84576,-121.761201,8/1/2006,56.8,IA,Iowa
Kennedy Glacier,Exists,1.56921,,48.130408,-121.140856,8/1/2006,56.8,WA,Washington
Keystone Glacier,Exists,13.4704,,61.155744,-146.007043,7/1/2015,52.96,AK,Alaska
Keystone Glacier,Exists,13.4704,,61.155744,-146.007043,7/1/2015,52.96,CO,Colorado
Killey Glacier,Exists,26.5635,,60.169503,-150.099606,7/1/2015,52.96,AK,Alaska
Kimtah Glacier,Exists,0.902046,,48.591543,-120.91617,8/1/2006,56.8,WA,Washington
Kings Glacier,Exists,4.51993,,60.425333,-148.580873,12/1/2014,52.53,CA,California
Kings Glacier,Exists,4.51993,,60.425333,-148.580873,12/1/2014,52.53,AK,Alaska
Kintla Glacier,Exists,1.27294,,48.933857,-114.211226,8/1/2006,56.8,MT,Montana
Klawatti Glacier,Exists,2.1955,,48.56665,-121.096179,8/1/2006,56.8,WA,Washington
Klickitat Glacier,Exists,2.58661,,46.202919,-121.482745,8/1/2006,56.8,WA,Washington
Klooch Glacier,Exists,7.16709,,58.615393,-137.281336,7/1/2015,52.96,AK,Alaska
Klutina Glacier,Exists,32.5596,,61.385711,-146.251053,7/1/2015,52.96,AK,Alaska
Klutina Glacier,Exists,32.5596,,61.385711,-146.251053,7/1/2015,52.96,CO,Colorado
Knife Point Glacier,Exists,1.2957,,43.119944,-109.579631,8/1/2006,56.8,WY,Wyoming
Knife Point Glacier,Exists,1.2957,,43.119944,-109.579631,8/1/2006,56.8,AZ,Arizona
Knik Glacier,Exists,435.571,,61.319823,-148.280734,7/1/2015,52.96,AK,Alaska
Konamoxt Glacier,Exists,73.5006,,59.371897,-137.613547,1/1/2010,30.67,AK,Alaska
Konwakiton Glacier,Exists,0.153712,,41.398576,-122.195863,8/1/2006,56.8,CA,California
Kyes Peak,Gone,0.087154,1662681600,47.967067,-121.340995,8/1/2006,56.8,WA,Washington
Kyes Peak,Gone,0.087154,1662681600,47.967067,-121.340995,8/1/2006,56.8,MO,Missouri
La Perouse Glacier,Exists,113.703,,58.52018,-137.328166,5/1/2006,46.77,AK,Alaska
Ladd Glacier,Exists,0.529304,,45.393833,-121.701359,8/1/2006,56.8,OR,Oregon
Lafayette Glacier,Exists,7.05684,,60.999145,-147.78333,12/1/2014,52.53,AK,Alaska
LaGorce Glacier,Exists,3.14548,,60.727502,-144.445987,12/1/2014,52.53,AK,Alaska
Lake George Glacier,Exists,91.8349,,60.985783,-148.640782,7/1/2015,52.96,CA,California
Lake George Glacier,Exists,91.8349,,60.985783,-148.640782,7/1/2015,52.96,AK,Alaska
Lamplugh Glacier,Exists,133.881,,58.874451,-136.935832,5/1/2006,46.77,AK,Alaska
Langdon Glacier,Exists,13.0966,,60.415628,-148.613741,12/1/2014,52.53,CA,California
Langdon Glacier,Exists,13.0966,,60.415628,-148.613741,12/1/2014,52.53,AK,Alaska
Langille Glacier,Exists,1.11981,,45.400471,-121.68227,8/1/2006,56.8,OR,Oregon
Lateral Glacier,Exists,25.1886,,60.04285,-152.979823,7/1/2015,52.96,AK,Alaska
Laughton Glacier,Exists,3.07029,,59.506676,-135.133627,7/1/2015,52.96,AK,Alaska
Lava Glacier,Exists,1.6617,,46.23695,-121.501194,8/1/2006,56.8,WA,Washington
Lawrence Glacier,Exists,5.1775,,60.640447,-148.610413,12/1/2014,52.53,CA,California
Lawrence Glacier,Exists,5.1775,,60.640447,-148.610413,12/1/2014,52.53,AK,Alaska
Le Blondeau Glacier,Exists,21.0929,,59.266144,-136.222188,7/1/2015,52.96,AK,Alaska
Leaking Glacier,Exists,1.54343,,58.447512,-134.401838,7/1/2015,52.96,AK,Alaska
Leaking Glacier,Exists,1.54343,,58.447512,-134.401838,7/1/2015,52.96,WI,Wisconsin
Learnard Glacier,Exists,3.49367,,60.799178,-148.722026,12/1/2014,52.53,CA,California
Learnard Glacier,Exists,3.49367,,60.799178,-148.722026,12/1/2014,52.53,AK,Alaska
Lechner Glacier,Exists,0.637364,,59.941236,-149.624903,6/1/2010,48.27,AK,Alaska
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,VA,Virginia
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,AK,Alaska
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,IL,Illinois
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,WV,West Virginia
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,IN,Indiana
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,TX,Texas
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,MI,Michigan
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,KY,Kentucky
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,TN,Tennessee
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,PA,Pennsylvania
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,NE,Nebraska
LeConte Glacier,Exists,427.59,,56.84107,-132.35621,4/1/2006,42.9,ND,North Dakota
Leeper Glacier,Exists,36.2084,,60.260135,-142.339841,2/1/2006,36.88,AK,Alaska
Lemah,Gone,0.126618,1662681600,47.4929,-121.299771,8/1/2006,56.8,WA,Washington
Lemon Creek Glacier,Exists,0.552773,,58.403051,-134.338989,7/1/2015,52.96,AK,Alaska
Lemon Creek Glacier,Exists,0.552773,,58.403051,-134.338989,7/1/2015,52.96,WI,Wisconsin
Lewis Glacier,Gone,0.172003,652838400,48.508515,-120.793851,8/1/2006,56.8,MA,Massachusetts
Lewis Glacier,Gone,0.172003,652838400,48.508515,-120.793851,8/1/2006,56.8,MN,Minnesota
Lewis Glacier,Gone,0.172003,652838400,48.508515,-120.793851,8/1/2006,56.8,IA,Iowa
Lewis Glacier,Gone,0.172003,652838400,48.508515,-120.793851,8/1/2006,56.8,WA,Washington
Lewis Glacier,Gone,0.172003,652838400,48.508515,-120.793851,8/1/2006,56.8,AR,Arkansas
Lewis Glacier,Gone,0.172003,652838400,48.508515,-120.793851,8/1/2006,56.8,NY,New York
Liberty Gap Glacier,Exists,2.10313,,46.868626,-121.774531,8/1/2006,56.8,AL,Alabama
Liberty Gap Glacier,Exists,2.10313,,46.868626,-121.774531,8/1/2006,56.8,WA,Washington
Lillian Glacier WA,Exists,0.005397,,47.851157,-123.38306,10/1/2017,57.51,WA,Washington
Lilliput Glacier,Exists,0.048057,,36.572733,-118.555118,8/1/2006,56.8,MI,Michigan
Lilliput Glacier,Exists,0.048057,,36.572733,-118.555118,8/1/2006,56.8,OR,Oregon
Lilliput Glacier,Exists,0.048057,,36.572733,-118.555118,8/1/2006,56.8,CA,California
Lilliput Glacier,Exists,0.048057,,36.572733,-118.555118,8/1/2006,56.8,TX,Texas
Linn Glacier OR,Exists,0.144214,,44.175803,-121.772806,8/1/2006,56.8,OR,Oregon
Little Jarvis Glacier,Exists,1.7992,,59.39543,-136.409949,7/1/2015,52.96,AK,Alaska
Lituya Glacier,Exists,48.3013,,58.744362,-137.411323,7/1/2015,52.96,AK,Alaska
Llewellyn Glacier,Exists,297.757,,59.038741,-134.381265,7/1/2015,52.96,AK,Alaska
Llewellyn Glacier,Exists,297.757,,59.038741,-134.381265,7/1/2015,52.96,WI,Wisconsin
Logan Glacier,Exists,126.829,,60.867051,-141.254512,2/1/2006,36.88,AK,Alaska
Loomis Glacier,Exists,0.984017,,58.925812,-136.4156,7/1/2015,52.96,AK,Alaska
Lost Creek Glacier,Exists,0.557158,,44.112654,-121.784819,8/1/2006,56.8,OR,Oregon
Lowell Glacier,Exists,3.17239,,60.834,-148.681217,12/1/2014,52.53,CA,California
Lowell Glacier,Exists,3.17239,,60.834,-148.681217,12/1/2014,52.53,AK,Alaska
Lower Curtis Glacier,Exists,0.558265,,48.821326,-121.617797,8/1/2006,56.8,WA,Washington
Lower Fremont Glacier,Exists,0.767278,,43.127684,-109.594918,8/1/2006,56.8,WY,Wyoming
